vwdtc,vwtype,vwinvno,vwnar,vwamtdr,vwamtcr,vwbalc,vwbal,
01/04/21,Opn,,Opening Balance,2603015,0,Dr,2603015,
01/04/21,Jor,    555,DIFF FOR LAST YEAR,0,1672537,Dr,930478,
04/04/21,Sal,     31,SALE BILL NO. 31,112904,0,Dr,1043382,
06/04/21,Sal,    115,SALE BILL NO. 115,340446,0,Dr,1383828,
06/04/21,Sal,    121,SALE BILL NO. 121,289749,0,Dr,1673577,
08/04/21,Sal,    232,SALE BILL NO. 232,255752,0,Dr,1929329,
09/04/21,Sal,    303,SALE BILL NO. 303  SHNA FURNITURE HOUSE (BULANDS),68178,0,Dr,1997507,
09/04/21,Sal,    315,SALE BILL NO. 315  D.K. ENTERPRISES (KHANPUR),136477,0,Dr,2133984,
09/04/21,Sal,    316,SALE BILL NO. 316  CHOUDHRY ELECTRONICS AND FURNE,216427,0,Dr,2350411,
10/04/21,Sal,    355,SALE BILL NO. 355  D.K. ENTERPRISES (KHANPUR),17130,0,Dr,2367541,
10/04/21,Sal,    361,SALE BILL NO. 361  GARG TRADERS (JAHANGIRABAD),293679,0,Dr,2661220,
12/04/21,Sal,    410,SALE BILL NO. 410,303061,0,Dr,2964281,
12/04/21,Sal,    431,SALE BILL NO. 431  KISAN FURNITURE HOUSE,97527,0,Dr,3061808,
12/04/21,Sal,    435,SALE BILL NO. 435  GARG TRADERS (JAHANGIRABAD),258931,0,Dr,3320739,
16/04/21,Sal,    603,SALE BILL NO. 603 ADINATH SAFE & FURNITURE (BARA),307467,0,Dr,3628206,
16/04/21,Sal,    605,SALE BILL NO. 605  GULSAN SAFE & FURNITURE (BARAU),292029,0,Dr,3920235,
17/04/21,Sal,    669,SALE BILL NO. 669,10620,0,Dr,3930855,
20/04/21,Sal,    740,SALE BILL NO. 740,166127,0,Dr,4096982,
20/04/21,Sal,    741,SALE BILL NO. 741,267370,0,Dr,4364352,
26/04/21,Bnk,      0,RTGS SHEELA FOAM,0,500000,Dr,3864352,
06/05/21,Bnk,      0,RTGS SHEELA FOAM,0,1000000,Dr,2864352,
19/05/21,Sal,   1056,SALE BILL NO. 1056,126106,0,Dr,2990458,
21/05/21,Sal,   1083,SALE BILL NO. 1083  SANAH FURNITURE HOUSE (BSR),98002,0,Dr,3088460,
08/05/21,Cas,    127,SHEELA FOAM,0,200000,Dr,2888460,
19/05/21,Cas,    169,CASH SHEELA FOAM,0,500000,Dr,2388460,
25/05/21,Cas,    199,CASH SHEELA FOAM,0,551000,Dr,1837460,
27/05/21,Sal,   1179,SALE BILL NO. 1179,150113,0,Dr,1987573,
29/05/21,Sal,   1209,SALE BILL NO. 1209,119931,0,Dr,2107504,
29/05/21,Sal,   1214,SALE BILL NO. 1214,4315,0,Dr,2111819,
07/06/21,Bnk,      0,NEFT SHEELA FOAM,0,1000000,Dr,1111819,
07/06/21,Sal,   1336,SALE BILL NO. 1336,206757,0,Dr,1318576,
11/06/21,Cas,    262,CASH SHEELA FOAM,0,2000000,Cr,681424,
11/06/21,Sal,   1430,SALE BILL NO. 1430,238553,0,Cr,442871,
12/06/21,Sal,   1453,SALE BILL NO. 1453  GARG TRADERS (JAHANGIRABAD),239191,0,Cr,203680,
14/06/21,Sal,   1479,SALE BILL NO. 1479,127827,0,Cr,75853,
15/06/21,Sal,   1502,SALE BILL NO. 1502,6159,0,Cr,69694,
16/06/21,Sal,   1535,SALE BILL NO. 1535  WOOD INDIA MART (NOIDA),4475,0,Cr,65219,
19/06/21,Sal,   1616,SALE BILL NO. 1616,167928,0,Dr,102709,
21/06/21,Bnk,      0,RTGS SHEELA FOAM,0,1100000,Cr,997291,
24/06/21,Sal,   1740,SALE BILL NO. 1740,110528,0,Cr,886763,
25/06/21,Sal,   1783,SALE BILL NO. 1783 WOOD INDIA MART (NOIDA),6010,0,Cr,880753,
26/06/21,Sal,   1810,SALE BILL NO. 1810  WOOD INDIA MART (NOIDA),4317,0,Cr,876436,
29/06/21,Sal,   1881,SALE BILL NO. 1881,139860,0,Cr,736576,
30/06/21,Bnk,      0,RTGS VAIBHAV FOAM,0,500000,Cr,1236576,
30/06/21,Sal,   1922,SALE BILL NO. 1922  ASHOKA ELECTRONICS & FURNITURE,97898,0,Cr,1138678,
02/07/21,Sal,   1988,SALE BILL NO. 1988,143740,0,Cr,994938,
08/07/21,Sal,   2135,SALE BILL NO. 2135,187196,0,Cr,807742,
12/07/21,Bnk,      1,RTGS SHEELA FOAM,0,500000,Cr,1307742,
12/07/21,Sal,   2244,SALE BILL NO. 2244,217282,0,Cr,1090460,
15/07/21,Sal,   2325,SALE BILL NO. 2325,170562,0,Cr,919898,
18/07/21,Sal,   2408,SALE BILL NO. 2408  WOOD INDIA MART (NOIDA),25774,0,Cr,894124,
21/07/21,Sal,   2466,SALE BILL NO. 2466,273940,0,Cr,620184,
23/07/21,Sal,   2535,SALE BILL NO. 2535,202214,0,Cr,417970,
24/07/21,Sal,   2571,SALE BILL NO. 2571 TO GARG PLYWOOD & GLASS CO.,159934,0,Cr,258036,
01/07/21,Jor,    664,Luxman Dadri,0,37500,Cr,295536,
26/07/21,Sal,   2614,SALE BILL NO. 2614,11614,0,Cr,283922,
26/07/21,Sal,   2615,SALE BILL NO. 2615 TO WOOD INDIA MART (NOIDA),37608,0,Cr,246314,
26/07/21,Cas,    596,CASH SHEELA FOAM HOUSE (HAPUR),0,800000,Cr,1046314,
27/07/21,Sal,   2636,SALE BILL NO. 2636,211315,0,Cr,834999,
28/07/21,Sal,   2666,SALE BILL NO. 2666,186427,0,Cr,648572,
29/07/21,Bnk,      0,RTGS SHEELA FOAM,0,500000,Cr,1148572,
31/07/21,Sal,   2771,SALE BILL NO. 2771 TO GARG TRADERS (JAHANGIRABAD),91622,0,Cr,1056950,
02/08/21,Sal,   2801,SALE BILL NO. 2801,393735,0,Cr,663215,
03/08/21,Sal,   2835,SALE BILL NO. 2835  TO GARG TRADERS (JHANGIRABAD),246730,0,Cr,416485,
03/08/21,Sal,   2838,SALE BILL NO. 2838,198828,0,Cr,217657,
05/08/21,Jor,    685,FROM SHEELA FOAM TO FACTORY SALARY,0,500000,Cr,717657,
07/08/21,Sal,   2957,SALE BILL NO. 2957,246119,0,Cr,471538,
09/08/21,Bnk,      0,NEFT SHEELA FOAM,0,500000,Cr,971538,
11/08/21,Sal,   3064,SALE BILL NO. 3064,270873,0,Cr,700665,
11/08/21,Sal,   3067,SALE BILL NO. 3067   B GRADE RATE HAS TO FILL,223043,0,Cr,477622,
11/08/21,Sal,   3071,SALE BILL NO. 3071  TO GARG TRADERS (JAHANGIRABAD),171509,0,Cr,306113,
13/08/21,Sal,   3127,SALE BILL NO. 3127,157723,0,Cr,148390,
16/08/21,Sal,   3174,SALE BILL NO. 3174,1872,0,Cr,146518,
17/08/21,Cas,    807,CASH SHEELA FOAM,0,600000,Cr,746518,
17/08/21,Sal,   3212,SALE BILL NO. 3212,164551,0,Cr,581967,
17/08/21,Sal,   3214,SALE BILL NO. 3214  TO WOOD INDIA MART (NOIDA),5006,0,Cr,576961,
17/08/21,Sal,   3215,SALE BILL NO. 3215,5940,0,Cr,571021,
21/08/21,Sal,   3334,SALE BILL NO. 3334,378835,0,Cr,192186,
21/08/21,Sal,   3337,SALE BILL NO. 3337  TO WOOD INDIA MART (NOIDA),8015,0,Cr,184171,
23/08/21,Sal,   3365,SALE BILL NO. 3365,5944,0,Cr,178227,
25/08/21,Bnk,      1,RTGS SHEELA FOAM,0,600000,Cr,778227,
26/08/21,Sal,   3463,SALE BILL NO. 3463,174430,0,Cr,603797,
26/08/21,Sal,   3470,SALE BILL NO. 3470 TO WOOD INDIA MART (NOIDA),7688,0,Cr,596109,
28/08/21,Sal,   3511,SALE BILL NO. 3511  TO KALUA ELECTRONICS (DANKAUR),151213,0,Cr,444896,
